title,description,question_id
"Йогурт","Кисломолочный продукт",455
"Санкт-Петербург","Северная Венеция",456
"Тургенев","Иван Тургенев",457
"Ртуть","Жидкий металл",458
"Пётр","Пётр Первый",459
"Венера","Самая горячая планета",460
"Яблоко","Символ Нью-Йорка",461
"Бадминтон","Игра с воланом",462
"Медведь","Зимняя спячка",463
"Мёд","Продукт пчёл",464
"Сахара","Большая пустыня",465
"Толстой","Лев Толстой",466
"Кислород","Для горения",467
"Кутузов","Михаил Кутузов",468
"Юпитер","Много спутников",469
"Капуста","Овощ разных цветов",470
"Лёгкая атлетика","Бег и прыжки",471
"Свинья","Для свинины",472
"Пиво","Напиток из ячменя",473
"Англия","Родина футбола",474
"Аксаков","Сергей Аксаков",475
"Ртуть","В термометрах",476
"Репин","Илья Репин",477
"1961","Полет Гагарина",478
"Венера","Утренняя звезда",479
"Персик","Фрукт с косточкой",480
"Теннис","Игра с мячиком",481
"Кенгуру","Символ Австралии",482
"Творог","Молочный продукт",483
"Волга","Длинная река Европы",484
"Пушкин","Александр Пушкин",485
"Гелий","Газ для голоса",486
"Армстронг","Нил Армстронг",487
"Меркурий","Самая маленькая планета",488
"Мясо","Для хинкали",489
"Художественная гимнастика","Спорт с лентами",490
"Кит","Самое большое животное",491
"Шоколад","Из какао-бобов",492
"Россия","Самая большая страна",493
"Островский","Александр Островский",494
"Углерод","В алмазах",495
"Жуков","Георгий Жуков",496
"Нептун","Синяя планета",497
"Виноград","Фрукт гроздьями",498
"Бейсбол","Игра с битой",499
"Орёл","Символ США",500
"Творог","Для сырников",501
"Токио","Столица Японии",502
"Тургенев","Иван Тургенев",503
"Медь","Красный металл",504
"1991","Распад СССР",505
"Уран","Планета на боку",506
"Картофель","Второй хлеб",507
"Плавание","Водный спорт",508
"Овца","Для баранины",509
"Чай","Из чайных листьев",510
"Греция","Родина Олимпиад",511
"Некрасов","Николай Некрасов",512
"Ацетилен","Для сварки",513
"Николай","Николай II",514
"Меркурий","Ближайшая к Солнцу",515
"Нектарин","Гладкий персик",516
"Хоккей","С шайбой",517
"Панда","Символ Китая",518
"Сырник","Из творога",519
"Москва","Белокаменная",520
"Гоголь","Николай Гоголь",521
"Медь","Для проводов",522
"Донской","Дмитрий Донской",523
"Юпитер","Большая планета",524
"Картофель","Для пюре",525
"Тяжёлая атлетика","Поднятие тяжестей",526
"Землеройка","Маленькое млекопитающее",527
"Кофе","Из зёрен",528
"Италия","Родина пиццы",529
"Гончаров","Иван Гончаров",530
"Железо","Для ржавчины",531
"Иван Грозный","Первый царь",532
"Земля","Голубая планета",533
"Абрикос","Для кураги",534
"Теннис","С ракеткой",535
"Лемур","Символ Мадагаскара",536
"Сыр","С дырками",537
"Каир","Столица Египта",538
"Фонвизин","Денис Фонвизин",539
"Углекислый","Для газировки",540
"1380","Куликовская битва",541
"Сатурн","С кольцами",542
"Картофель","Для Оливье",543
"Бег с препятствиями","С барьерами",544
"Корова","Для говядины",545
"Сидр","Из яблок",546
"США","Родина гамбургера",547
"Чехов","Антон Чехов",548
"Золото","Для украшений",549
"Невский","Александр Невский",550
"Юпитер","С красным пятном",551
"Апельсин","Цитрусовый",552
"Гольф","С клюшкой",553
"Бобр","Символ Канады",554
"Хлеб","Из муки",555
"Берлин","Столица Германии",556
"Лермонтов","Михаил Лермонтов",557
"Уран","Для АЭС",558
"Вашингтон","Джордж Вашингтон",559
"Нептун","Дальняя планета",560
"Капуста","Для голубцов",561
"Прыжки в воду","В бассейне",562
"Синий кит","Громкое животное",563
"Саке","Из риса",564
"Япония","Родина суши",565
"Чехов","Антон Чехов",566
"Кислород","Для водолазов",567
"1917","Октябрьская революция",568
"Нептун","14 спутников",569
"Лимон","Кислый фрукт",570
"Бейсбол","С перчаткой",571
"Тигр","Символ Индии",572
"Сметана","Для блинов",573
"Рим","Столица Италии",574
"Шолохов","Михаил Шолохов",575
"Свинец","От радиации",576
"Жуков","Георгий Жуков",577
"Уран","Бриллиантовая",578
"Свёкла","Для винегрета",579
"Фигурное катание","На коньках",580
"Курица","Для курятины",581
"Водка","Из картофеля",582
"Мексика","Родина шоколада",583
"Андерсен","Ганс Андерсен",584
"Вольфрам","В лампах",585
"Гагарин","Юрий Гагарин",586
"Венера","Против часовой",587
"Кокос","На пальме",588
"Волейбол","С сеткой",589
"Слон","Символ Африки",590
"Соевый соус","Из бобов",591
"Мадрид","Столица Испании",592
"Пастернак","Борис Пастернак",593
"Гелий","Для дирижаблей",594
"1945","Конец войны",595
"Меркурий","Короткий год",596
"Баклажан","Для рататуя",597
"Велоспорт","На велосипеде",598
"Дельфин","Умное животное",599
"Портвейн","Виноградное вино",600
"Китай","Родина чая",601
"Карамзин","Николай Карамзин",602
"Медь","Для монет",603
"Орлов","Алексей Орлов",604
"Уран","Ледяные кольца",605
"Маракуйя","Фрукт страсти",606
"Шестнадцать","Фигуры в шахматах",607
"Медведь","Символ Берлина",608
"Милкшейк","Молочный коктейль",609
"Оттава","Столица Канады",610
"Ван Гог","Подсолнухи",611
"Олово","Для консервных банок",612
"Апрель","Месяц на А",613
"Венера","Вечерняя звезда",614
"Перро","Шарль Перро",615
"Виноград","Фрукт разных цветов",616
"Дзюдо","Броски через плечо",617
"Кот","Кошачье дерево",618
"Окрошка","Холодный суп",619
"Южный","Океан у Антарктиды",620
"Дюма","Александр Дюма",621
"Пропан","Газ для зажигалок",622
"Двадцать четыре","Часов в сутках",623
"Комета","Небесное тело с хвостом",624
"Дуриан","Колючий фрукт",625
"Шотландия","Родина кёрлинга",626
"Ленивец","Медленное животное",627
"Огурец","Для греческого салата",628
"Сена","Река в Париже",629
"Пушкин","Александр Пушкин",630
"Свинец","Для аккумуляторов",631
"Терешкова","Валентина Терешкова",632
"Сатурн","Яркие кольца",633
"Виноград","Для изюма",634
"Гимнастика","На бревне",635
"Лошадь","Логотип Porsche",636
"Пиво","Из солода",637
"Венгрия","Страна-подкова",638
"Пушкин","Александр Пушкин",639
"Водород","Элемент H",640
"1789","Французская революция",641
"Полярная","Указывает на север",642
"Апельсин","Китайское яблоко",643
"Овальный","Мяч для регби",644
"Петух","Символ Парижа",645
"Круассан","Хлеб полумесяцем",646
"Атакама","Пустыня в Чили",647
"Грибоедов","Александр Грибоедов",648
"Углекислый","Для тушения пожаров",649
"Магеллан","Фернан Магеллан",650
"Юпитер","Большие шторма",651
"Салат","Для Цезаря",652
"Хоккей","На льду",653
"Слон","Тяжёлое животное",654
"Сливочное масло","Из сливок",655
"Рим","На семи холмах",656
"Чехов","Антон Чехов",657
"Цинк","Для покрытия железа",658
"Александр","Александр II",659
"Нептун","Ветреная планета",660
"Ананас","Символ гостеприимства",661
"Бадминтон","С воланом",662
"Белка","Спячка на деревьях",663
"Воск","Для сот",664
"Канада","Длинная береговая",665
"Толстой","Лев Толстой",666
"Углерод","Для фотосинтеза",667
"Нахимов","Павел Нахимов",668
"Уран","Голубая планета",669
"Перец","Острый и сладкий",670
"Лёгкая атлетика","Метание копья",671
"Лошадь","Для конины",672
"Квас","Из ржи",673
"Англия","Родина бокса",674
"Перро","Шарль Перро",675
"Серебро","Для украшений",676
"Серов","Валентин Серов",677
"1914","Начало ПМВ",678
"Земля","Планета-океан",679
"Абрикос","Ворсистый фрукт",680
"Настольный теннис","Стол для игры",681
"Киви","Символ Новой Зеландии",682
"Кефир","Кисломолочный продукт",683
"Амазонка","Широкая река",684
"Пушкин","Александр Пушкин",685
"Азот","Для охлаждения",686
"Гайдар","Егор Гайдар",687
"Плутон","Мало изучена",688
"Лук","Для лукового супа",689
"Прыжки на лыжах","С трамплина",690
"Лев","Громкое животное",691
"Текила","Из агавы",692
"Индия","Родина йоги",693
"Чехов","Антон Чехов",694
"Железо","В стали",695
"Жуков","Георгий Жуков",696
"Венера","Длинный день",697
"Опунция","Фрукт кактуса",698
"Бильярд","С шарами",699
"Корова","Символ Швейцарии",700
"Моцарелла","Сыр для пиццы",701
"Бразилиа","Столица Бразилии",702
"Достоевский","Фёдор Достоевский",703
"Платина","Белое золото",704
"1812","Бородинская битва",705
"Юпитер","Быстрое вращение",706
"Помидор","Король огорода",707
"Дайвинг","Под водой",708
"Олень","Для оленины",709
"Комбуча","Чайный гриб",710
"Япония","Родина карате",711
"Твардовский","Александр Твардовский",712
"Неон","Для вывесок",713
"Людовик","Людовик XVI",714
"Венера","Ближайшая к Земле",715
"Клементин","Разновидность мандарина",716
"Гольф","На песке",717
"Кошка","Символ Египта",718
"Пудинг","Молочный десерт",719
"Рим","Вечный город",720
"Куприн","Александр Куприн",721
"Алюминий","Для самолётов",722
"Пётр","Пётр Первый",723
"Марс","Большие вулканы",724
"Морковь","Для торта",725
"Стрельба из лука","Олимпийский вид",726
"Карликовая свинья","Маленькое парнокопытное",727
"Виски","Из ячменя",728
"Италия","Родина пасты",729
"Достоевский","Фёдор Достоевский",730
"Кремний","Для стекла",731
"Пётр","Пётр Первый",732
"Уран","Планета Уран",733
"Смоковница","Для инжира",734
"Баскетбол","С корзиной",735
"Белый медведь","Символ Арктики",736
"Слоёное тесто","Для выпечки",737
"Канберра","Столица Австралии",738
"Гоголь","Николай Гоголь",739
"Азот","Для удобрений",740
"1147","Основание Москвы",741
"Юпитер","Кольца из пыли",742
"Слива","Для ткемали",743
"Кросс","Бег по местности",744
"Теленок","Для телятины",745
"Перри","Из груш",746
"Германия","Родина сосиски",747
"Чехов","Антон Чехов",748
"Серебро","Для зеркал",749
"Кутузов","Михаил Кутузов",750
"Энцелад","Ледяные гейзеры",751
"Лайм","Зелёный цитрус",752
"Крокет","На газоне",753
"Пума","Символ Аргентины",754
"Макароны","Из пшеницы",755
"Анкара","Столица Турции",756
"Булгаков","Михаил Булгаков",757
"Литий","В батарейках",758
"Альфред","Альфред Великий",759
"Венера","Тёмная планета",760
"Виноградные листья","Для долмы",761
"Сноубординг","На доске",762
"Жираф","Высокое парнокопытное",763
"Бурбон","Из кукурузы",764
"Япония","Родина роллов",765
"Чехов","Антон Чехов",766
"Гелий","Для шаров",767
"1943","Курская битва",768
"Уран","27 спутников",769
"Банан","Жёлтый фрукт",770
"Бокс","Для ударов",771
"Слон","Символ Таиланда",772
"Сливочный сыр","Для чизкейка",773
"Пекин","Столица Китая",774
