id,title,theme_id
214,"Какой генетический феномен приводит к появлению альбинизма?",29
215,"Какие клетки нервной системы выполняют защитную и опорную функции?",30
216,"В греческой мифологии - какое чудовище имело голову льва, тело козы и хвост змеи?",21
217,"Какой экономист разработал теорию сравнительных преимуществ в международной торговле?",22
218,"Какой язык является предком для всех современных романских языков?",23
219,"Какой ритуал перехода в новый социальный статус изучал Арнольд ван Геннеп?",24
220,"Какой древний шифр использовал Скитала в Спарте?",25
221,"В романе какого писателя впервые появился термин 'робот'?",26
222,"Какой метод криминалистики был вытеснен дактилоскопией в начале XX века?",27
223,"Какой дипломатический документ подтверждает полномочия посла?",28
224,"Какой молекулярно-генетический процесс нарушается при серповидноклеточной анемии?",29
225,"Какая область мозга отвечает за формирование долговременной памяти?",30
226,"В скандинавской мифологии - волк, которого сковали волшебной цепью до Рагнарёка?",21
227,"Какой российский экономист разработал теорию длинных волн конъюнктуры?",22
228,"Какой язык имеет самый сложный фонетический клик-систему?",23
229,"Какой антрополог разработал концепцию 'структурной антропологии'?",24
230,"Какой принцип криптографии означает, что безопасность должна зависеть только от секретности ключа?",25
231,"Кто автор антиутопии 'О дивный новый мир'?",26
232,"Какой метод идентификации использует уникальный рисунок вен ладони?",27
233,"Какой дипломатический ранг следует после посла?",28
234,"Какое генетическое заболевание связано с трисомией по 21-й хромосоме?",29
235,"Какая нейротрансмиттерная система нарушается при болезни Паркинсона?",30
236,"В египетской мифологии - бог с головой шакала, проводник душ в загробный мир?",21
237,"Какой показатель инфляции исключает цены на пищевые продукты и энергоносители?",22
238,"Сколько падежей в венгерском языке? Ответ дайте цифрой",23
239,"Какой антропологический термин описывает культурные особенности, распространенные глобально?",24
240,"Какой алгоритм лежит в основе большинства современных цифровых подписей?",25
241,"Кто автор фантастического романа 'Левша' о нанотехнологиях?",26
242,"Какой метод позволяет определить давность написания документа по чернилам?",27
243,"Как называется территория вокруг дипломатического представительства, пользующаяся особым статусом?",28
244,"Какой ген отвечает за синтез белка p53 - 'страж genome'?",29
245,"Какая зона коры головного мозга отвечает за моторную речь?",30
246,"В японской мифологии - лис-оборотень, способный принимать человеческий облик?",21
247,"Какой экономический парадокс описывает ситуацию, когда рост сбережений приводит к падению спроса?",22
248,"Кто создал первый искусственный международный язык Эсперанто?",23
249,"Какой антрополог изучал ритуалы исцеления у народов Сибири?",24
250,"Какой российский математик разработал несколько криптографических стандартов?",25
251,"Какое фантастическое произведение начинается словами: 'Меня зовут Омон Кривомазов...'?",26
252,"Какой метод используется для идентификации человека по радужной оболочке глаза?",27
253,"Какой дипломатический термин описывает взаимный отзыв послов в знак протеста?",28
254,"Какой эпигенетический процесс involves метилирование ДНК?",29
255,"Какая структура мозга отвечает за страх и эмоциональные реакции?",30
256,"В индуистской мифологии - многоголовый змей, на котором возлежит Вишну?",21
257,"Какой нобелевский лауреат по экономике разработал теорию поведенческих финансов?",22
258,"Какой язык является изолирующим и имеет тональную систему?",23
259,"Какой антропологический метод предполагает длительное проживание среди изучаемого народа?",24
260,"Какой российский криптограф известен работами по теории сложности вычислений?",25
261,"Кто автор цикла 'Песнь льда и пламени'?",26
262,"Какой метод позволяет восстановить облик человека по черепу?",27
263,"Какой дипломатический протокол регулирует вопросы старшинства дипломатов?",28
264,"Какое генетическое заболевание вызывается expansion of CAG повторов?",29
265,"Какая знаменитая пациентка помогла изучению памяти и получила инициалы H.M.?",30
266,"В кельтской мифологии - волшебный котел, дающий неограниченную пищу?",21
267,"Какой экономический индекс измеряет цены 'корзины' товаров для typical городской семьи?",22
268,"Какой язык имеет самую древнюю непрерывную письменную традицию?",23
269,"Какой антрополог написал 'Золотую ветвь' - исследование магии и религии?",24
270,"Какой метод стеганографии использовали в Древней Греции, writing на головах рабов?",25
271,"Кто автор рассказа 'Завтрак для чемпионов'?",26
272,"Какой метод позволяет определить подлинность картины по мазкам краски?",27
273,"Какой дипломатический документ объявляет persona non grata?",28
274,"Какой генетический механизм объясняет наследование признаков через митохондрии?",29
275,"Какая знаменитая зона мозга была открыта при изучении пациентов с болезнью Паркинсона?",30
276,"В месопотамской мифологии - богиня любви и войны, corresponding Венере?",21
277,"Какой экономист разработал теорию игр и концепцию 'равновесия Нэша'?",22
278,"Какой язык является самым молодым из славянских литературных языков?",23
279,"Какой антропологический термин описывает культурный шок при столкновении с чужой культурой?",24
280,"Какой алгоритм стал первым асимметричным криптографическим алгоритмом?",25
281,"Кто автор фантастического романа 'Солярис'?",26
282,"Какой метод позволяет идентифицировать человека по отпечаткам ушей?",27
283,"Какой венский документ регулирует вопросы дипломатического иммунитета?",28
284,"Какое генетическое заболевание связано с imprinting на 15-й хромосоме?",29
285,"Какая оболочка мозга является самой плотной и наружной?",30
286,"В ацтекской мифологии - бог солнца и войны, requiring человеческих жертв?",21
287,"Какой экономический термин описывает ситуацию, когда частные действия имеют негативные внешние эффекты?",22
288,"Какой язык имеет самое большое количество падежей - более 40?",23
289,"Какой антрополог изучал структуру родства у народов Австралии?",24
290,"Какой российский математик решил проблему гомоморфного шифрования?",25
291,"Кто автор антиутопии '451 градус по Фаренгейту'?",26
292,"Какой метод позволяет определить подлинность драгоценных камней?",27
293,"Какой дипломатический ранг имеет право подписывать международные договоры?",28
294,"Какое генетическое заболевание проявляется only у мужчин и связано с X-хромосомой?",29
295,"Какая область мозга была названа в честь морского конька due to своей формы?",30
296,"В греческой мифологии - титан, держащий на плечах небесный свод?",21
297,"Какой экономист предложил концепцию 'creative destruction'?",22
298,"Какой язык является официальным в наибольшем количестве стран?",23
299,"Какой антрополог разработал теорию коммуникативных культур?",24
300,"Какой метод криптоанализа использует различие во времени выполнения операций?",25
301,"Кто автор цикла 'Хроники Амбера'?",26
302,"Какой метод позволяет идентифицировать человека по почерку?",27
303,"Какой дипломатический термин означает право государства на защиту своих граждан abroad?",28
304,"Какое генетическое заболевание вызывает преждевременное старение?",29
305,"Какая структура мозга регулирует циркадные ритмы?",30
306,"Какое химическое соединение является основным нейротрансмиттером торможения в ЦНС млекопитающих?",30
307,"В древнегреческой мифологии - царица амазонок, чей пояс добыл Геракл в ходе девятого подвига?",21
308,"Какой экономический парадокс описывает ситуацию роста предложения денег при одновременном падении цен?",22
309,"Какой лингвистический термин описывает слияние двух слов в одно (например, 'завтрак' + 'ужин' = 'бранч')?",23
310,"Какой антрополог разработал концепцию 'коммуникативной компетенции'?",24
311,"Какой метод криптографии использует свойства квантовой механики для защиты информации?",25
312,"Кто автор научно-фантастического романа 'Чужак в чужой стране'?",26
313,"Какой метод криминалистики позволяет идентифицировать человека по ДНК из одного волоса?",27
314,"Какой дипломатический термин означает предварительное согласование кандидатуры посла с принимающей страной?",28
315,"Какое генетическое заболевание связано с мутацией в гене CFTR и поражает дыхательную систему?",29
316,"Какая область мозга наиболее активна во время быстрой фазы сна?",30
317,"В скандинавской мифологии - волшебное кольцо, которое каждую девятую ночь порождало восемь таких же колец?",21
318,"Какой экономический показатель измеряет разницу между экспортом и импортом товаров и услуг?",22
319,"Какой язык имеет самую сложную систему письма с использованием иероглифов, силлабических и алфавитных знаков?",23
320,"Какой антропологический термин описывает веру в сверхъестественную силу, присущую людям или предметам?",24
321,"Какой российский математик получил премию Филдса за работы по теории динамических систем?",25
322,"Кто автор фантастической саги 'Дюна'?",26
323,"Какой метод позволяет определить подлинность аудиозаписи по спектральным характеристикам?",27
324,"Какой дипломатический документ содержит условия прекращения состояния войны?",28
325,"Какое генетическое заболевание характеризуется нарушением метаболизма меди?",29
326,"Какая структура мозга названа в честь римского бога мостов?",30
327,"В шумеро-аккадской мифологии - бог мудрости и заклинаний, защитник людей от гнева других богов?",21
328,"Какой экономист разработал теорию рациональных ожидаений?",22
329,"Какой язык является единственным официальным в Японии?",23
330,"Какой антрополог написал работу 'Смерть в Бранарске' о ритуалах перехода?",24
331,"Какой алгоритм использует эллиптические кривые для создания цифровой подписи?",25
332,"Кто автор антиутопического романа 'Мы'?",26
333,"Какой метод позволяет идентифицировать огнестрельное оружие по следам на пулях?",27
334,"Какой дипломатический термин означает отказ государства от ранее принятых международных обязательств?",28
335,"Какое генетическое заболевание проявляется в виде 'крыловидной' шеи и низкорослости?",29
336,"Какая зона мозга отвечает за распознавание лиц?",30
337,"В древнеегипетской мифологии - бог-творец, изображавшийся с головой лягушки?",21
338,"Какой экономический термин описывает ситуацию, когда рост производства не приводит к снижению цен?",22
339,"Какой язык использует уникальную письменность, созданную в XV веке корейским королем Седжоном?",23
340,"Какой антрополог разработал теорию 'практик' как основу социальной жизни?",24
341,"Какой метод стеганографии использует микроточки для скрытия информации?",25
342,"Кто автор фантастического цикла 'Колесо Времени'?",26
343,"Какой метод позволяет определить подлинность скульптуры по анализу мрамора?",27
344,"Какой дипломатический ранг следует после поверенного в делах?",28
345,"Какое генетическое заболевание связано с дефектом фермента фенилаланингидроксилазы?",29
346,"Какая область мозга была открыта при изучении 'эффекта Клювера-Бьюси'?",30
347,"В кельтской мифологии - богиня-воительница, превращающаяся в ворона во время битвы?",21
348,"Какой экономический индекс измеряет уровень цен на акции 30 крупнейших американских компаний?",22
349,"Какой язык имеет наибольшее количество гласных звуков - более 20?",23
350,"Какой антрополог изучал ритуалы исцеления в традиционных обществах Амазонии?",24
351,"Какой российский криптограф известен работами по теории вероятностей и математической статистике?",25
352,"Кто автор научно-фантастического романа 'Автостопом по галактике'?",26
353,"Какой метод позволяет идентифицировать человека по термограмме лица?",27
354,"Какой дипломатический термин означает взаимное снижение уровня дипломатических отношений?",28
355,"Какое генетическое заболевание характеризуется трисомией по 13-й хромосоме?",29
356,"Какая структура мозга регулирует вегетативные функции: дыхание, сердцебиение, давление?",30
357,"В индуистской мифологии - бог-разрушитель, один из тримурти, изображаемый с трезубцем?",21
358,"Какой экономист разработал теорию человеческого капитала?",22
359,"Какой язык является официальным в Эфиопии и имеет уникальную слоговую письменность?",23
360,"Какой антрополог разработал концепцию 'биологической смерти' как социального феномена?",24
361,"Какой алгоритм шифрования был разработан в России и стандартизирован как ГОСТ 28147-89?",25
362,"Кто автор фантастического романа 'Нейромант', основавшего киберпанк-движение?",26
363,"Какой метод позволяет определить давность смерти по стадии развития личинок мух?",27
364,"Какой дипломатический протокол регулирует вопросы морского права?",28
365,"Какое генетическое заболевание связано с делецией в 5-й хромосоме и вызывает 'кошачий крик'?",29
366,"Какая область мозга наиболее уязвима при болезни Альцгеймера?",30
367,"В древнегреческой мифологии - бог лекарства и врачевания, сын Аполлона?",21
368,"Какой экономический показатель измеряет изменение цены одной валюты относительно другой?",22
369,"Какой язык имеет самую древнюю алфавитную письменность, дошедшую до наших дней?",23
370,"Какой антрополог изучал ритуалы перехода у народов Сибири и Центральной Азии?",24
371,"Какой метод криптоанализа использует анализ энергопотребления устройства во время шифрования?",25
372,"Кто автор научно-фантастического цикла 'Планета обезьян'?",26
373,"Какой метод позволяет идентифицировать человека по отпечаткам губ?",27
374,"Какой дипломатический термин означает право государства на разработку ресурсов на своем шельфе?",28
375,"Какое генетическое заболевание характеризуется неспособностью расщеплять галактозу?",29
376,"Какая структура мозга названа в честь немецкого анатома, открывшего её в 1900 году?",30
377,"В месопотамской мифологии - бог-покровитель города Вавилона, верховное божество пантеона?",21
378,"Какой экономист разработал теорию длинных циклов экономической конъюнктуры?",22
379,"Какой язык является тональным и имеет 4 тона в северном диалекте?",23
380,"Какой антрополог разработал концепцию 'структуры чувств' для анализа культуры?",24
381,"Какой алгоритм использует решето числового поля для факторизации больших чисел?",25
382,"Кто автор фантастического романа 'Ложная слепота' о первой встрече с инопланетным разумом?",26
383,"Какой метод позволяет определить подлинность древней керамики по термолюминесценции?",27
384,"Какой дипломатический термин означает экстерриториальность дипломатических помещений?",28
385,"Какое генетическое заболевание связано с мутацией в гене хантингтина?",29
386,"Какая область мозга отвечает за обработку болевых сигналов?",30
387,"В японской мифологии - бог грома и молний, изображаемый с барабаном?",21
388,"Какой экономический парадокс описывает ситуацию, когда индивидуально рациональные действия приводят к коллективно нерациональному результату?",22
389,"Какой язык имеет самую сложную систему родов - 18 грамматических классов?",23
390,"Какой антрополог разработал теорию 'потлача' как форму экономического обмена?",24
391,"Какой метод криптографии использует свойства сингулярных точек эллиптических кривых?",25
392,"Кто автор научно-фантастического романа 'Конец детства' о появлении сверхлюдей?",26
393,"Какой метод позволяет идентифицировать человека по анализу походки?",27
394,"Какой дипломатический документ содержит условия мирного договора?",28
395,"Какое генетическое заболевание характеризуется нарушением репарации ДНК и повышенной чувствительностью к UV?",29
396,"Какая структура мозга регулирует гормональный баланс через гипофиз?",30
397,"В славянской мифологии - бог солнца и неба, глава пантеона?",21
398,"Какой экономист разработал теорию асимметричной информации и рынков 'лимонов'?",22
399,"Какой язык является официальным в Намибии и имеет щелкающие звуки?",23
400,"Какой антрополог изучал ритуалы шаманизма у народов Чукотки?",24
401,"Какой алгоритм был первым сертифицированным российским стандартом электронной подписи?",25
402,"Кто автор научно-фантастического цикла 'Гиперион'?",26
403,"Какой метод позволяет определить подлинность монет по металлографическому анализу?",27
404,"Какой дипломатический термин означает право государства на суверенитет над воздушным пространством?",25
405,"Какое генетическое заболевание связано с мутацией в гене фибриллина-1?",29
406,"Какой фрукт называют 'королём тропиков'?",15
407,"Сколько игроков в футбольной команде выходит на поле?",13
408,"Какое животное является символом России?",5
409,"Какой напиток традиционно пьют в Англии в 5 часов дня?",15
410,"Какой город является столицей Франции?",11
411,"Кто написал картину 'Мона Лиза'?",12
412,"Какой металл называют 'крылатым'?",10
413,"Какой месяц года самый короткий?",8
414,"Какая планета известна как 'Красная планета'?",19
415,"Кто автор сказки 'Конёк-Горбунок'?",9
416,"Какой фрукт бывает красным, жёлтым и зелёным?",15
417,"Какой вид спорта называют 'королевой спорта'?",13
418,"Какое животное даёт название конфетам 'Птичье молоко'?",5
419,"Какой суп считается традиционным русским блюдом?",15
420,"Какой океан самый большой на Земле?",11
421,"Кто написал роман 'Преступление и наказание'?",9
422,"Какой газ нужен человеку для дыхания?",10
423,"Сколько дней в високосном году?",8
424,"Какой спутник вращается вокруг Земли?",19
425,"Какой фрукт имеет мохнатую кожуру и зелёную мякоть?",15
426,"В какой стране появились Олимпийские игры?",13
427,"Какое животное самое высокое на Земле?",5
428,"Какой овощ используют для приготовления борща?",15
429,"Какая река протекает через Лондон?",11
430,"Кто автор повести 'Капитанская дочка'?",9
431,"Какой металл используют для изготовления фольги?",10
432,"Кто был первым космонавтом?",8
433,"Какая планета самая большая в Солнечной системе?",19
434,"Какой фрукт сушат чтобы получить чернослив?",15
435,"Какой вид спорта включает упражнения на брусьях и кольцах?",13
436,"Какое животное изображено на эмблеме 'Мерседес-Бенц'?",5
437,"Какой напиток делают из винограда?",15
438,"Какая страна имеет форму сапога?",11
439,"Кто написал поэму 'Руслан и Людмила'?",9
440,"Какой элемент обозначается символом O?",10
441,"В каком году закончилась Вторая мировая война?",8
442,"Какая звезда находится ближе всего к Земле?",19
443,"Какой фрукт называют 'райским яблоком'?",15
444,"Какой мяч используется в баскетболе?",13
445,"Какое животное является символом мудрости?",5
446,"Какой хлебный продукт имеет форму кольца?",15
